trimestre;nomeBandeira;nomeFuncao;produto;qtdCartoesEmitidos;qtdCartoesAtivos;qtdTransacoesNacionais;valorTransacoesNacionais;qtdTransacoesInternacionais;valorTransacoesInternacionais;;
20184;Bandeira propria;Credito;Outros;4370634;2414199;5848505;688647217;5;381;;
20231;Elo;Credito;Platinum;158984;83916;2895827;457166237;3868;1064458;;
20231;MasterCard;Pre-Pago;Basico Internacional;193982;121111;381768;27492234;1048;57022;;
20232;American Express;Credito;Outros;302;280;13399;16739134;1056;4211334;;
20224;American Express;Credito;Intermediario;448882;346292;9626019;1672960863;80842;41797990;;
20232;VISA;Credito;Platinum;10138960;7337630;310784314;46491525170;2545922;937655721;;
20224;MasterCard;Debito;Premium;511773;326873;6825197;539401870;1193;634105;;
20232;MasterCard;Credito;Empresarial;6101597;2807026;43769708;13079288105;687600;440234508;;
20212;MasterCard;Credito;Platinum;14497800;12296353;360874249;46545174384;1927239;449119812;;
20193;Elo;Debito;Outros;63499660;28883411;417426430;23130709580;0;0;;
20191;MasterCard;Credito;Intermediario;19457411;13376663;298712073;29557245757;2747410;594762254;;
20221;VISA;Debito;Platinum;1811479;1070345;38507949;3587414332;528;110605;;
20224;MasterCard;Credito;Premium;4121226;3413424;235013884;47774066167;4701629;2603285575;;
20222;VISA;Debito;Outros;937;132;10398;609159;0;0;;
20183;Elo;Credito;Corporativo;23629;14353;21198;123991479;186;96491;;
20232;Bandeira propria;Credito;Outros;18174876;3240477;9093191;1415724622;0;0;;
20214;MasterCard;Debito;Corporativo;3449;2273;90696;8357474;2;18;;
20214;MasterCard;Credito;Empresarial;4395443;2400889;36611562;9321778754;420432;283326869;;
20184;VISA;Credito;Intermediario;6989009;5198613;167408848;20421902708;2139072;574363240;;
20224;VISA;Credito;Corporativo;574726;334822;5713385;2650257237;311300;305126623;;
20231;MasterCard;Debito;Premium;546780;351392;7023372;523196315;1347;616008;;
20222;MasterCard;Credito;Basico Internacional;79409311;33238288;417729746;45813919317;1195657;246129420;;
20212;MasterCard;Debito;Basico Internacional;46647110;19459945;538866194;37791612781;31528;9728825;;
20211;VISA;Credito;Empresarial;1614248;953555;23320893;6165363918;265302;236524695;;
20194;MasterCard;Debito;Platinum;773058;414752;10817455;890985190;3479;1172796;;
20192;Elo;Credito;Basico Internacional;4299117;1777697;28608892;3130872774;94942;28128297;;
20184;Elo;Pre-Pago;Outros;1845218;1406027;9870831;524253253;85;1242;;
20193;VISA;Debito;Intermediario;1506131;883473;28879088;2089414396;488;65650;;
20203;Elo;Credito;Intermediario;2986762;1655127;26125677;2762616367;15949;1998199;;
20182;VISA;Credito;Corporativo;514943;261344;5011958;1319889579;346550;206576651;;
20184;MasterCard;Debito;Empresarial;291064;63036;1367652;156400631;254;140445;;
20192;VISA;Credito;Intermediario;7135206;5194476;167612859;19379053809;2099537;560593694;;
20213;Bandeira propria;Debito;Outros;1177660;504518;4951051;361757453;0;0;;
20232;VISA;Debito;Basico Internacional;81187441;22486156;590318200;38906543177;23938;4956276;;
20201;VISA;Debito;Basico Nacional;8995690;4317923;101426025;6416265835;1374;179709;;
20212;MasterCard;Pre-Pago;Platinum;3119733;1875773;36989279;1884522015;0;0;;
20201;Elo;Credito;Basico Internacional;5767658;2746404;41418587;4804643351;110134;41822585;;
20221;American Express;Credito;Intermediario;448255;334759;8696505;1525440080;65859;33653254;;
20223;VISA;Credito;Intermediario;31279964;21301976;432348150;50514296812;1351818;315422675;;
20234;American Express;Credito;Empresarial;27676;18805;599444;415304192;29814;43456958;;
20182;MasterCard;Credito;Basico Nacional;31387297;12365676;175964530;17655364950;24505;1647354;;
20183;MasterCard;Debito;Intermediario;893070;366448;7656994;537885777;1101;256809;;
20202;VISA;Debito;Empresarial;1561727;588688;13090179;1643930377;750;210879;;
20202;VISA;Debito;Outros;208;87;1846;92245;0;0;;
20212;VISA;Credito;Premium;2063420;1553523;86401396;17260938181;676718;408724912;;
20212;Hipercard;Credito;Intermediario;5872;2111;23978;2112292;1;0;;
20182;Elo;Debito;Basico Internacional;24353812;7130670;165197826;8725272544;0;0;;
20212;VISA;Debito;Intermediario;3149096;2108683;48634435;4157209580;343;70604;;
20212;Elo;Debito;Empresarial;903058;371062;7897364;1091779472;0;0;;
20201;Hipercard;Credito;Intermediario;3801973;3590838;52866044;7357021813;14;487;;
20231;MasterCard;Debito;Basico Nacional;461638;338722;10388314;799900243;20;5170;;
20203;Outras;Credito;Intermediario;29713;18941;89968;16085763;202;32508;;
20204;MasterCard;Debito;Empresarial;1012771;313941;8443895;677758350;60;47807;;
20214;MasterCard;Pre-Pago;Empresarial;689169;274959;10048714;639256385;0;0;;
20204;MasterCard;Debito;Basico Nacional;708846;419067;11533560;925802914;5;5856;;
20202;American Express;Credito;Basico Nacional;101735;32189;757677;93142884;449;131469;;
20223;MasterCard;Pre-Pago;Outros;19545879;2746560;33798298;1931888911;157943;34497864;;
20183;Elo;Credito;Outros;1097080;405405;6331777;632945157;6366;2351649;;
20201;American Express;Credito;Corporativo;115623;101085;1774762;659388220;182543;178205064;;
20204;Elo;Credito;Intermediario;2498027;1121699;17571220;1919123134;4118;615878;;
20214;Elo;Credito;Premium;55627;48417;1855029;380397599;3488;2165094;;
20203;VISA;Pre-Pago;Corporativo;668034;130895;2205680;188057717;536527;100501072;;
20221;VISA;Debito;Basico Nacional;12308499;6658638;171524153;11533429361;1272;175816;;
20203;VISA;Credito;Premium;1325637;1008787;58045347;11073472893;488914;254818967;;
20182;MasterCard;Debito;Corporativo;4764;1;39499;5671720;0;0;;
20222;Elo;Credito;Outros;6009285;2884210;41958686;5857996569;58247;32387800;;
20211;VISA;Credito;Platinum;6469142;4697150;190662251;28178366243;1102958;355717197;;
20203;Bandeira propria;Credito;Basico Nacional;4235534;976354;2880793;253267553;0;0;;
20181;VISA;Debito;Empresarial;972468;472389;10458649;1308959934;86;21479;;
20233;MasterCard;Credito;Basico Internacional;96625382;30799487;323675949;32108289902;712169;109319424;;
20233;Elo;Credito;Outros;2736600;937016;14227043;3108578463;37604;21021047;;
20233;MasterCard;Debito;Outros;546420;249410;4622677;219985365;1126;2353510;;
20193;MasterCard;Pre-Pago;Platinum;396140;126531;1618904;86701092;169374;31349759;;
20211;VISA;Pre-Pago;Corporativo;792538;114591;2696424;251703294;117899;28573484;;
20222;MasterCard;Credito;Basico Nacional;28800306;11033134;169862628;20933980876;21423;2848346;;
20224;VISA;Pre-Pago;Outros;32627419;12021324;135637833;6817411194;115132;19761076;;
20181;American Express;Credito;Intermediario;1139390;853663;5730520;729196134;208039;76760636;;
20192;Elo;Credito;Basico Nacional;4945958;2548271;57166151;4614685785;59157;16813625;;
20233;VISA;Credito;Premium;6829503;4649642;264305845;50958190510;4678196;2428066321;;
20201;Elo;Credito;Basico Nacional;5357399;3076204;69458398;6000480695;79283;27189192;;
20181;VISA;Credito;Premium;711634;528213;39616184;6627891557;1547814;677327807;;
20182;VISA;Debito;Basico Internacional;114375455;30084932;555342124;35190660474;123377;11298306;;
20234;MasterCard;Credito;Corporativo;4113708;1428870;25891685;4043531739;360411;340666409;;
20202;American Express;Credito;Empresarial;22514;17118;354436;152942559;1429;1381117;;
20201;MasterCard;Credito;Outros;15072763;5344454;58584903;5406324521;111052;14696557;;
20202;VISA;Pre-Pago;Platinum;17407;220;0;0;3203;1204275;;
20231;VISA;Debito;Outros;1916;182;12511;652726;0;0;;
20194;VISA;Debito;Premium;498513;267186;7974180;797202241;442;110868;;
20184;VISA;Debito;Platinum;1724154;1134094;43080218;3628520206;1518;268204;;
20222;American Express;Credito;Empresarial;22356;16630;541499;375699756;26112;36940854;;
20211;MasterCard;Pre-Pago;Empresarial;207001;89690;2131752;139957666;0;0;;
20204;MasterCard;Pre-Pago;Corporativo;9647;370;69664;5282120;385;385507;;
20214;VISA;Debito;Empresarial;1498017;565451;22049316;2933822128;1841;550268;;
20214;VISA;Credito;Empresarial;1961570;1173314;32108225;9232789705;353779;323240183;;
20183;MasterCard;Pre-Pago;Platinum;149571;4386;0;0;177414;34750978;;
20184;MasterCard;Pre-Pago;Intermediario;1367;717;6103;275102;0;0;;
20182;MasterCard;Credito;Basico Internacional;17230931;11216105;205888912;19378591043;1578344;249917916;;
20181;VISA;Credito;Outros;4144264;432568;6410553;777067275;26976;5673902;;
20191;Elo;Debito;Outros;58054116;23148848;322425498;18503868448;0;0;;
20192;MasterCard;Pre-Pago;Basico Nacional;98901;22646;292108;16615708;0;0;;
20233;VISA;Debito;Basico Internacional;151924662;39809985;966211748;62164619277;27422;5488295;;
20233;American Express;Credito;Corporativo;65771;47465;1303530;1111759340;97189;131105352;;
20181;MasterCard;Credito;Basico Internacional;16614675;10775152;191274816;18264958032;1695844;241623366;;
20194;VISA;Credito;Basico Internacional;23140958;14106639;268030323;24751244563;1607155;269422353;;
20194;Hipercard;Credito;Basico Nacional;3877789;3049368;61014379;8729518972;0;0;;
20181;VISA;Credito;Basico Internacional;15684342;10770583;187782580;16916459498;1910258;280446238;;
20194;VISA;Credito;Premium;1095057;824390;64084409;11108670115;1954829;956260453;;
20192;VISA;Debito;Platinum;1746619;1136005;39789902;3162239900;794;135477;;
20201;Outras;Credito;Intermediario;28008;7221;88369;12520429;185;59000;;
20201;MasterCard;Credito;Platinum;6941263;5651851;230426502;28645638580;3508183;959539266;;
20234;MasterCard;Credito;Premium;6847156;5079217;369271968;73488763442;7024773;3659413290;;
20202;American Express;Credito;Premium;418694;259285;7428240;1764406457;32278;27559695;;
20191;MasterCard;Debito;Platinum;804957;460790;10611195;838558514;4927;1609079;;
20181;MasterCard;Pre-Pago;Corporativo;3543;1775;40936;3548366;10894;1752576;;
20203;MasterCard;Pre-Pago;Basico Nacional;57671;23784;75232;52064042;0;0;;
20214;MasterCard;Credito;Premium;2845637;2332933;152873088;32736527027;2478042;1444520853;;
20222;Bandeira propria;Debito;Basico Nacional;28189;1611;39617;5789783;0;0;;
20214;VISA;Credito;Premium;2757105;2117905;129400610;27267664679;1513822;993873292;;
20231;MasterCard;Pre-Pago;Basico Nacional;2059821;237493;1585686;86386065;10090;1752667;;
20193;American Express;Credito;Corporativo;121264;109045;2439788;1146516840;249398;215769436;;
20222;VISA;Debito;Basico Internacional;137993892;51738989;1088154223;72224549522;20765;3872697;;
20183;Elo;Debito;Corporativo;1074;2;2;15;0;0;;
20214;Hipercard;Credito;Empresarial;1672;1037;8996;4142592;1;0;;
20183;American Express;Credito;Platinum;499776;405012;3819761;729947729;168902;99042805;;
20221;MasterCard;Debito;Basico Internacional;44329494;18075054;585895683;37030497588;49157;13360498;;
20193;Elo;Credito;Corporativo;25411;14560;35768;116886816;204;141360;;
20222;VISA;Credito;Intermediario;24231373;15572262;310663901;36280585061;933126;233873219;;
20181;VISA;Credito;Basico Nacional;22306347;10713804;142083386;11584977324;232826;14560802;;
20214;MasterCard;Pre-Pago;Basico Nacional;306053;199118;1059240;138683534;6874;708636;;
20201;American Express;Credito;Empresarial;18876;11748;543659;245646757;28460;32130993;;
20202;MasterCard;Debito;Premium;292368;128388;1074573;129037433;251;660697;;
20183;Elo;Credito;Basico Internacional;1432198;599648;10197908;1123483845;48604;17249262;;
20222;VISA;Pre-Pago;Basico Internacional;13725934;4017380;76570907;3693669886;809911;147693043;;
20201;VISA;Pre-Pago;Corporativo;564877;156470;1975306;150422309;1241992;201407361;;
20202;VISA;Pre-Pago;Outros;8546665;4471318;27682692;1476249279;68278;11981855;;
20192;VISA;Credito;Platinum;5134612;3766765;189599589;23317204460;3326860;1013933532;;
20183;Bandeira propria;Debito;Outros;1316719;384708;3963288;535713936;0;0;;
20182;Elo;Credito;Basico Nacional;4925746;2262128;40251412;3133370171;33761;9918787;;
20231;Bandeira propria;Credito;Intermediario;20913;10142;2515907;706837042;0;0;;
20182;MasterCard;Debito;Basico Internacional;108277544;39148325;858274189;49909794805;130786;28340604;;
20234;Elo;Debito;Outros;118723;27087;376600;45293525;0;0;;
20201;VISA;Credito;Platinum;5973427;4456632;208338756;26795970911;3294578;1017272842;;
20221;Elo;Credito;Empresarial;498299;271923;5747007;1542230050;8005;5537454;;
20204;MasterCard;Credito;Basico Nacional;34215388;11155754;170017404;19317971841;36355;2426384;;
20212;Outras;Credito;Outros;187406;126360;85987;22968565;0;0;;
20184;VISA;Debito;Basico Internacional;110678141;29854237;612026373;41642143938;102801;11360999;;
20191;American Express;Credito;Intermediario;933716;818311;14402558;2155918310;292791;111690181;;
20201;VISA;Debito;Premium;524164;281010;7300175;719876458;366;72612;;
20233;Elo;Credito;Platinum;170595;116852;3318766;507000498;4784;1096979;;
20234;VISA;Pre-Pago;Basico Internacional;19272503;4973344;115461446;5382584454;1351263;238182676;;
20211;MasterCard;Pre-Pago;Outros;18327758;5451181;29987921;1885870921;213287;32090576;;
20204;VISA;Debito;Basico Internacional;95751640;29811609;647637052;49550656029;27216;5936625;;
20202;Elo;Credito;Basico Nacional;5068165;2909349;54682730;5048057224;15516;3895147;;
20231;VISA;Debito;Platinum;1913872;1165126;43466310;3911370021;927;169476;;
20214;American Express;Credito;Basico Nacional;55548;41603;910289;127548635;3604;1159432;;
20233;VISA;Pre-Pago;Basico Internacional;18434317;4746505;104606810;4768156050;1447352;245759189;;
20212;Bandeira propria;Credito;Basico Nacional;6425895;1506269;5541408;768492640;0;0;;
20211;MasterCard;Credito;Basico Nacional;23859443;6342333;62067867;5751198772;33770;2576748;;
20214;VISA;Debito;Basico Nacional;12108576;6065784;179932430;12475537832;1562;209981;;
20223;Bandeira propria;Credito;Outros;24203520;5137921;14813307;2274516956;0;0;;
20201;VISA;Pre-Pago;Basico Internacional;5300602;465396;1833735;111454352;2086064;250376601;;
20233;American Express;Credito;Intermediario;346312;263935;8129971;1403697266;70120;36829137;;
20201;MasterCard;Debito;Basico Internacional;81042649;23450885;590430144;36029210175;77884;21697970;;
20214;Elo;Debito;Basico Nacional;185205697;64000866;939557377;58197109053;0;0;;
20233;MasterCard;Pre-Pago;Premium;285288;131900;4102258;262103218;0;0;;
20184;Outras;Debito;Basico Nacional;6;6;3880;225101;0;0;;
20214;VISA;Credito;Outros;9929280;2739109;35601575;3797565560;93040;51100150;;
20231;Elo;Credito;Empresarial;521515;312278;6710143;1932384873;8855;7721703;;
20221;VISA;Debito;Outros;881;493;9643;530583;0;0;;
20203;VISA;Debito;Intermediario;2976940;2081749;43653392;3753722572;258;60890;;
20202;Bandeira propria;Debito;Outros;1037567;394237;3759586;280297981;0;0;;
20203;VISA;Pre-Pago;Basico Internacional;9094620;518618;3217472;194174879;901478;126390897;;
20233;Outras;Debito;Outros;3503794;1708135;40262538;3827793576;0;0;;
20223;Elo;Credito;Outros;6971046;3216121;50253214;7036774816;70488;38362245;;
20224;MasterCard;Credito;Outros;22525648;6130260;90927581;10383682948;97510;16974074;;
20223;MasterCard;Credito;Basico Internacional;76319096;24698493;273611315;26221671227;794166;173371907;;
20232;Elo;Credito;Basico Nacional;3772736;2319355;70810335;8018590343;49735;19573025;;
20203;VISA;Debito;Platinum;1791451;1104164;30120337;2996479834;81;17793;;
20224;VISA;Pre-Pago;Basico Nacional;12091210;1750831;46617363;3324576062;1233;409942;;
20201;VISA;Pre-Pago;Basico Nacional;1894152;286955;1243436;846767147;176;138366;;
20233;Elo;Credito;Empresarial;527330;352943;7777723;2723393122;14144;8682988;;
20181;VISA;Debito;Premium;342333;195864;4983789;509287399;655;150592;;
20212;Elo;Debito;Basico Nacional;197925610;79987298;930360168;57782932343;0;0;;
20232;Hipercard;Credito;Empresarial;7;1;8;27571;1;0;;
20192;MasterCard;Pre-Pago;Outros;13436616;3163553;32415058;2360704745;323513;48016918;;
20223;VISA;Credito;Empresarial;2460413;1612275;41109218;11487005347;423541;384388723;;
20213;VISA;Pre-Pago;Empresarial;3361;1982;34324;3888509;0;0;;
20182;VISA;Pre-Pago;Platinum;160340;6897;217;53071;181376;37787424;;
20214;American Express;Credito;Platinum;120;120;120;9427;0;0;;
20183;Elo;Debito;Basico Nacional;10891767;4817895;88405322;5376220764;0;0;;
20231;Outras;Debito;Outros;3406135;1743385;41928992;3925126074;0;0;;
20234;VISA;Debito;Basico Nacional;14298337;7976957;234485613;15178132354;6418;625016;;
20193;VISA;Pre-Pago;Basico Nacional;1799739;239132;1391552;871599786;81;21859;;
20203;MasterCard;Pre-Pago;Platinum;590659;289447;3715994;245193247;0;0;;
20182;VISA;Pre-Pago;Corporativo;158302;149917;468412;108261369;318178;155462887;;
20192;MasterCard;Debito;Corporativo;4596;905;31857;2296248;0;0;;
20224;Bandeira propria;Pre-Pago;Outros;778566;708565;811232667;1982881418;0;0;;
20194;MasterCard;Debito;Corporativo;4479;1052;32851;2380973;0;0;;
20234;Elo;Pre-Pago;Basico Nacional;4721;381;5918;515203;0;0;;
20221;VISA;Credito;Platinum;9719883;7163107;261907633;40626908498;1864880;743054917;;
20222;VISA;Credito;Corporativo;539525;313696;5263018;2293266944;255585;254486966;;
20183;Outras;Credito;Outros;517281;246163;749355;101626774;49;5767;;
20231;MasterCard;Pre-Pago;Platinum;6147142;3115249;87490891;4150543309;0;0;;
20233;American Express;Credito;Outros;337;311;14188;19662865;1477;4756762;;
20193;MasterCard;Credito;Basico Nacional;38681973;12804179;207624664;20509530170;38147;2873004;;
20214;Elo;Credito;Basico Internacional;5874868;2975896;51143284;7798704553;36195;17142066;;
20204;MasterCard;Debito;Premium;301181;126945;2033799;246055359;543;483072;;
20234;MasterCard;Debito;Outros;740067;249854;5008758;250053967;1359;490249;;
20234;MasterCard;Debito;Premium;547015;312007;8039604;599690771;1384;578043;;
20214;MasterCard;Debito;Basico Nacional;554378;329163;11282241;895511175;18;19083;;
20211;American Express;Credito;Empresarial;22003;16255;418972;214563552;14309;19104693;;
20194;Bandeira propria;Debito;Outros;1448812;395181;5043827;346913117;0;0;;
20224;VISA;Pre-Pago;Empresarial;4846;2188;41991;5591643;0;0;;
20232;MasterCard;Pre-Pago;Outros;18254536;1462209;12566914;625762120;67470;11315572;;
20194;MasterCard;Debito;Empresarial;490164;114312;3300594;247874930;142;88680;;
20221;American Express;Credito;Platinum;2873;2593;82448;21298745;2101;1653774;;
20213;American Express;Credito;Basico Nacional;57294;42971;880215;119575230;3599;1113418;;
20192;MasterCard;Credito;Intermediario;22641443;15984906;379766862;34565815817;3167572;638644562;;
20181;MasterCard;Debito;Premium;202711;115971;1944581;192309700;5830;2243423;;
20233;Elo;Pre-Pago;Basico Nacional;5551;451;10133;797993;0;0;;
20214;American Express;Credito;Empresarial;21520;16309;507642;323168909;19173;26486822;;
20181;VISA;Pre-Pago;Outros;3462681;2911164;2605149;236923291;200443;69088817;;
20223;MasterCard;Debito;Corporativo;448;233;116725;11550570;3;7393;;
20183;MasterCard;Debito;Empresarial;261236;66729;1138328;147715623;220;111280;;
20194;Outras;Debito;Outros;3479624;1837332;46930899;3884935524;0;0;;
20213;MasterCard;Debito;Outros;512945;134841;2023340;92438173;207;60762;;
20222;MasterCard;Credito;Empresarial;5470525;2981237;39512432;10399437979;502078;323888912;;
20191;MasterCard;Credito;Platinum;5600108;4382714;170047551;22138402956;3247309;923610502;;
20183;MasterCard;Pre-Pago;Outros;990;717;2020;424259;0;0;;
20213;VISA;Debito;Basico Internacional;130139340;43685374;878665747;60863870265;26136;6996737;;
20231;Bandeira propria;Debito;Outros;17842;2791;18978;3032201;0;0;;
20234;VISA;Credito;Premium;7494198;5068987;294453439;57977508007;4491294;2291741046;;
20231;American Express;Credito;Intermediario;433549;335542;9107357;1617984610;76424;41466369;;
20212;VISA;Debito;Outros;534;339;5758;343565;0;0;;
20223;Elo;Debito;Outros;155355222;29216314;480315194;28071887726;887;235663;;
20233;Outras;Credito;Outros;95245;79988;35132;15276999;0;0;;
20182;MasterCard;Credito;Intermediario;13703651;9589948;224859164;23589120365;2463605;586144379;;
20194;VISA;Debito;Intermediario;1566229;918293;31764769;2440967409;361;48066;;
20221;MasterCard;Debito;Platinum;803571;382395;9724987;833243046;6803;2932226;;
20231;VISA;Debito;Empresarial;1318273;529810;18489468;2371694508;2743;660878;;
20183;VISA;Pre-Pago;Outros;4053358;3443137;2645567;255360748;211869;66878739;;
20213;VISA;Debito;Platinum;1916493;1089396;38049764;3646578436;442;88237;;
20222;VISA;Debito;Empresarial;1326144;522000;18869912;2571506736;2248;714971;;
20203;MasterCard;Credito;Platinum;10638963;9065368;235668154;34943211679;1474427;370196522;;
20224;VISA;Credito;Intermediario;23832527;14967500;313684029;37645198908;945079;233528631;;
20221;MasterCard;Credito;Premium;3270328;2714750;161073545;32688766738;3106137;1839932802;;
20213;MasterCard;Credito;Premium;2555517;2074871;131412643;27136054909;1762172;966941871;;
20201;VISA;Debito;Basico Internacional;93710362;27541293;505181447;34415124218;41620;6418785;;
20201;MasterCard;Pre-Pago;Basico Nacional;95248;17460;183462;13352196;0;0;;
20212;VISA;Credito;Outros;9880318;1904023;26253418;2698280828;88254;25284549;;
20193;MasterCard;Pre-Pago;Intermediario;3098932;1281359;18905861;765821325;0;0;;
20224;Elo;Debito;Empresarial;1059146;377031;8673219;1278590451;0;0;;
20191;Elo;Debito;Empresarial;506238;221868;4804487;580171127;0;0;;
20203;MasterCard;Pre-Pago;Corporativo;9855;1625;139843;9855212;683;620507;;
20221;American Express;Credito;Corporativo;75912;57606;1004784;741630576;58791;104333541;;
20203;VISA;Debito;Premium;535656;283432;6044512;707314950;20;4763;;
20203;MasterCard;Debito;Intermediario;47619548;30887696;537332329;34643382860;12563;2836066;;
20204;MasterCard;Credito;Empresarial;2469383;1574492;22525178;5765197573;309807;222116027;;
20231;MasterCard;Debito;Corporativo;258;163;93750;9125282;8;1697;;
20232;VISA;Credito;Corporativo;598732;344567;6503240;2739727369;333860;318640935;;
20204;American Express;Credito;Intermediario;589220;351813;7733987;1350002980;56738;22196233;;
20214;VISA;Credito;Basico Internacional;29351971;15433911;275430264;28789280881;699938;138742955;;
20191;VISA;Credito;Basico Internacional;20606619;13107115;229206030;20805194208;1720204;281972692;;
20212;MasterCard;Pre-Pago;Basico Nacional;47920;32027;139276;59206656;0;0;;
20212;MasterCard;Debito;Outros;369386;76078;921382;43919563;85;26761;;
20224;MasterCard;Pre-Pago;Platinum;5944584;3178394;89947799;4448149886;32328;12739569;;
20233;American Express;Credito;Empresarial;27741;19039;609656;399183346;28837;42690133;;
20233;MasterCard;Pre-Pago;Intermediario;52918514;29521748;1202025035;42201512941;1;0;;
20211;Elo;Credito;Outros;296681;156464;4529637;872527765;6519;4264011;;
20181;VISA;Credito;Corporativo;476134;259545;4193383;1096675056;304358;162015673;;
20183;MasterCard;Credito;Basico Internacional;17643736;11569320;215535870;20611231129;1548668;252507346;;
20194;VISA;Pre-Pago;Platinum;176814;3718;0;0;135698;29030529;;
20181;Bandeira propria;Credito;Outros;645743;193502;2016816;193162547;0;0;;
20222;Elo;Debito;Basico Internacional;69431;59153;578857;33395692;0;0;;
